,Movie Name,Audience Score,AUDIENCE SCORE reviews,Tomatometer Score,TOMATOMETER reviews,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),box office,Runtime,Distributor,MOVIE INFO
786,BLACK ADAM,89%,"5,000+ Verified Ratings",39%,BLACK ADAM,"Action, Adventure, Fantasy",English,Jaume Collet-Serra,"Beau Flynn, Hiram Garcia, Dwayne Johnson, Dany Garcia","Adam Sztykiel, Rory Haines, Sohrab Noshirvani","Oct 21, 2022  Wide","Nov 22, 2022",$162.8M,2h 5m,Warner Bros. Pictures,"Nearly 5,000 years after he was bestowed with the almighty powers of the ancient gods--and imprisoned just as quickly--Black Adam (Dwayne Johnson) is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world."
787,THE FABELMANS,82%,500+ Verified Ratings,91%,THE FABELMANS,Drama,English,Steven Spielberg,"Kristie Macosko Krieger, Steven Spielberg, Tony Kushner","Steven Spielberg, Tony Kushner","Nov 23, 2022  Wide",,$3.5M,2h 31m,Universal Pictures,"Young Sammy Fabelman falls in love with movies after his parents take him to see ""The Greatest Show on Earth."" Armed with a camera, Sammy starts to make his own films at home, much to the delight of his supportive mother."
788,BONES AND ALL,62%,100+ Verified Ratings,83%,BONES AND ALL,"Mystery & Thriller, Romance, Drama",English,Luca Guadagnino,"Luca Guadagnino, Theresa Park, Marco Morabito, David Kajganich, Francesco Melzi d'Eril, Lorenzo Mieli, Gabriele Moratti, Peter Spears, Timothée Chalamet",David Kajganich,"Nov 23, 2022  Wide",,$3.8M,2h 10m,United Artists Releasing,"BONES AND ALL is a story of first love between Maren, a young woman learning how to survive on the margins of society, and Lee, an intense and disenfranchised drifter; a liberating road odyssey of two young people coming into their own, searching for identity and chasing beauty in a perilous world that cannot abide who they are."
789,TICKET TO PARADISE,87%,"2,500+ Verified Ratings",57%,TICKET TO PARADISE,"Romance, Comedy",English,Ol Parker,"Tim Bevan, Eric Fellner, Sarah Harvey, Deborah Balderstone","Ol Parker, Daniel Pipski","Oct 21, 2022  Wide","Dec 9, 2022",$65.1M,1h 44m,Universal Pictures,"Academy Award® winners George Clooney and Julia Roberts reunite on the big screen as exes who find themselves on a shared mission to stop their lovestruck daughter from making the same mistake they once made. From Working Title, Smokehouse Pictures and Red Om Films, Ticket to Paradise is a romantic comedy about the sweet surprise of second chances."
790,SHE SAID,91%,250+ Verified Ratings,87%,SHE SAID,Drama,English,Maria Schrader,"Dede Gardner, Jeremy Kleiner",Rebecca Lenkiewicz,"Nov 18, 2022  Wide",,$4.3M,2h 9m,Universal Pictures,"Two-time Academy Award® nominee Carey Mulligan (Promising Young Woman, An Education) and Zoe Kazan (The Plot Against America limited series, The Big Sick) star as New York Times reporters Megan Twohey and Jodi Kantor, who together broke one of the most important stories in a generation--a story that helped propel the #Metoo movement, shattered decades of silence around the subject of sexual assault in Hollywood and altered American culture forever."
791,"LYLE, LYLE, CROCODILE",93%,"1,000+ Verified Ratings",73%,"LYLE, LYLE, CROCODILE","Kids & Family, Musical, Comedy, Animation",English,"Will Speck, Josh Gordon","Hutch Parker, Will Speck, Josh Gordon",Will Davies,"Oct 7, 2022  Wide",,$45.2M,1h 46m,Columbia Pictures,"When the Primm family (Constance Wu, Scoot McNairy, Winslow Fegley) moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle - a singing crocodile (Shawn Mendes) who loves baths, caviar and great music-living in the attic of his new home. The two become fast friends, but when Lyle's existence is threatened by evil neighbor Mr. Grumps (Brett Gelman), the Primm's must band together with Lyle's charismatic owner, Hector P. Valenti (Javier Bardem), to show the world that family can come from the most unexpected places and there's nothing wrong with a big singing crocodile with an even bigger personality."
792,SMILE,77%,"2,500+ Verified Ratings",79%,SMILE,"Horror, Mystery & Thriller",English,Parker Finn,"Marty Bowen, Wyck Godfrey, Isaac Klausner, Robert Salerno",Parker Finn,"Sep 30, 2022  Wide","Nov 15, 2022",$105.5M,1h 56m,Paramount Pictures,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter (Sosie Bacon) starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality."
793,PREY FOR THE DEVIL,69%,250+ Verified Ratings,16%,PREY FOR THE DEVIL,"Horror, Mystery & Thriller",English,Daniel Stamm,"Paul Brooks, Todd R. Jones, Earl Richey Jones, Jessica Malanaphy","Robert Zappia, Earl Richey Jones, Todd R. Jones","Oct 28, 2022  Wide",,$19.1M,1h 33m,Lionsgate,"Sister Ann (Jacqueline Byers) believes she is answering a calling to be the first female exorcist... but who, or what, called her? In response to a global rise in demonic possessions, Ann seeks out a place at an exorcism school reopened by the Catholic Church. Until now these schools have only trained priests in the Rite of Exorcism -- but a professor (Colin Salmon) recognizes Sister Ann's gifts and agrees to train her. Thrust onto the spiritual frontline with fellow student Father Dante (Christian Navarro), Sister Ann finds herself in a battle for the soul of a young girl, who Sister Ann believes is possessed by the same demon that tormented her own mother years ago. Determined to root out the evil, Ann soon realizes the Devil has her right where he wants her."
794,THE BANSHEES OF INISHERIN,76%,500+ Verified Ratings,97%,THE BANSHEES OF INISHERIN,Comedy,English,Martin McDonagh,"Graham Broadbent, Peter Czernin, Martin McDonagh",Martin McDonagh,"Nov 4, 2022  Wide","Dec 13, 2022",$7.9M,1h 49m,Searchlight Pictures,"Set on a remote island off the west coast of Ireland, THE BANSHEES OF INISHERIN follows lifelong friends Pádraic and Colm, who find themselves at an impasse when Colm unexpectedly puts an end to their friendship. A stunned Pádraic, aided by his sister Siobhán and troubled young islander Dominic, endeavours to repair the relationship, refusing to take no for an answer. But Pádraic's repeated efforts only strengthen his former friend’s resolve and when Colm delivers a desperate ultimatum, events swiftly escalate, with shocking consequences."
795,ONE PIECE FILM RED,95%,"1,000+ Verified Ratings",94%,ONE PIECE FILM RED,"Action, Adventure, Anime",Japanese,Goro Taniguchi,Eiichiro Oda,"Eiichiro Oda, Tsutomu Kuroiwa","Nov 4, 2022  Wide",,$8.6M,1h 55m,Crunchyroll,"Uta -- the most beloved singer in the world. Renowned for concealing her own identity when performing, her voice has come to be described as ""otherworldly."" Now, for the first time ever, Uta will reveal herself to the world at a live concert. As the venue fills with all kinds of Uta fans -- excited pirates, the Navy watching closely, and the Straw Hats led by Luffy who simply came to enjoy her sonorous performance -- the voice that the whole world has been waiting for is about to resound. The story begins with the shocking fact that she is Shanks' daughter."
796,THE WOMAN KING,99%,"5,000+ Verified Ratings",94%,THE WOMAN KING,"Action, Adventure, History, Drama, War",English,Gina Prince-Bythewood,"Cathy Schulman, Viola Davis, Julius Tennon, Maria Bello",Dana Stevens,"Sep 16, 2022  Wide",,$67.0M,2h 15m,TriStar Pictures,"The Woman King is the remarkable story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen. Inspired by true events, The Woman King follows the emotionally epic journey of General Nanisca (Oscar®-winner Viola Davis) as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life. Some things are worth fighting for...."
797,TRIANGLE OF SADNESS,73%,500+ Ratings,69%,TRIANGLE OF SADNESS,Comedy,English,Ruben Östlund,"Philippe Bober, Erik Hemmendorff",Ruben Östlund,"Oct 7, 2022  Limited",,$4.0M,2h 29m,NEON,"In Ruben Östlund's wickedly funny Palme d'Or winner, social hierarchy is turned upside down, revealing the tawdry relationship between power and beauty. Celebrity model couple, Carl (Harris Dickinson) and Yaya (Charlbi Dean), are invited on a luxury cruise for the uber-rich, helmed by an unhinged boat captain (Woody Harrelson). What first appeared instagrammable ends catastrophically, leaving the survivors stranded on a desert island and fighting for survival."
798,TÁR,72%,250+ Verified Ratings,90%,TÁR,"Drama, Music",English,Todd Field,"Todd Field, Alexandra Milchan, Scott Lambert",Todd Field,"Oct 28, 2022  Wide",,$5.1M,2h 38m,Focus Features,"From writer-producer-director Todd Field comes TÁR, starring Cate Blanchett as Lydia Tár, the groundbreaking conductor of a major German Orchestra. We meet Tár at the height of her career, as she's preparing both a book launch and much-anticipated live performance of Mahler's Fifth Symphony. Over the ensuing weeks her life begins to unravel in a singularly modern way. The result is a searing examination of power, and its impact and durability in today's society."
799,TILL,97%,500+ Verified Ratings,98%,TILL,Drama,English,Chinonye Chukwu,"Keith Beauchamp, Barbara Broccoli, Whoopi Goldberg, Thomas Levine, Michael Reilly, Frederick Zollo","Michael Reilly, Keith Beauchamp, Chinonye Chukwu","Oct 28, 2022  Wide",,$8.7M,2h 10m,United Artists Releasing,"Till is a profoundly emotional and cinematic film about the true story of Mamie Till Mobley's relentless pursuit of justice for her 14 year old son, Emmett Till, who, in 1955, was brutally lynched while visiting his cousins in Mississippi. In Mamie's poignant journey of grief turned to action, we see the universal power of a mother's ability to change the world."
800,MINIONS: THE RISE OF GRU,89%,"10,000+ Verified Ratings",70%,MINIONS: THE RISE OF GRU,"Kids & Family, Comedy, Adventure, Animation",English,Kyle Balda,"Christopher Meledandri, Janet Healy, Chris Renaud",Matthew Fogel,"Jul 1, 2022  Wide","Sep 23, 2022",$369.5M,1h 27m,Universal Pictures,"In the heart of the 1970s, amid a flurry of feathered hair and flared jeans, Gru (Oscar® nominee Steve Carell) is growing up in the suburbs. A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them. Luckily, he gets some mayhem-making backup from his loyal followers, the Minions. Together, Kevin, Stuart, Bob, and Otto--a new Minion sporting braces and a desperate need to please--deploy their skills as they and Gru build their first lair, experiment with their first weapons and pull off their first missions. When the Vicious 6 oust their leader, legendary fighter Wild Knuckles (Oscar® winner Alan Arkin), Gru interviews to become their newest member. It doesn't go well (to say the least), and only gets worse after Gru outsmarts them and suddenly finds himself the mortal enemy of the apex of evil. On the run, Gru will turn to an unlikely source for guidance, Wild Knuckles himself, and discover that even bad guys need a little help from their friends."
801,ARMAGEDDON TIME,48%,100+ Verified Ratings,76%,ARMAGEDDON TIME,Drama,English,James Gray,"Anthony Katagas, Marc Butan, Rodrigo Teixeira, James Gray",James Gray,"Nov 4, 2022  Wide",,$1.8M,1h 54m,Focus Features,"From acclaimed filmmaker James Gray, ARMAGEDDON TIME is a deeply personal coming-of-age story about the strength of family and the generational pursuit of the American Dream. The film features an all-star cast including Anthony Hopkins, Anne Hathaway and Jeremy Strong."
802,DECISION TO LEAVE,88%,250+ Ratings,94%,DECISION TO LEAVE,"Mystery & Thriller, Crime, Drama, Romance",Korean,Park Chan-wook,Park Chan-wook,"Park Chan-wook, , Jeong Seo-kyeong","Oct 14, 2022  Limited",,$1.9M,2h 18m,MUBI,"From a mountain peak in South Korea, a man plummets to his death. Did he jump, or was he pushed? When detective Hae-joon arrives on the scene, he begins to suspect the dead man's wife Seo-rae. But as he digs deeper into the investigation, he finds himself trapped in a web of deception and desire."
803,ALL THE BEAUTY AND THE BLOODSHED,0%,Fewer than 50 Ratings,96%,ALL THE BEAUTY AND THE BLOODSHED,"Documentary, Biography",English,Laura Poitras,"Nan Goldin, Howard Gertler, John S. Lyons, Yoni Golijov, Laura Poitras",Laura Poitras,"Nov 23, 2022  Limited",,$38.2K,1h 57m,NEON,"Directed by Academy Award®-winning filmmaker Laura Poitras, All the Beauty and the Bloodshed is an epic, emotional and interconnected story about internationally renowned artist and activist Nan Goldin told through her slideshows, intimate interviews, ground-breaking photography, and rare footage of her personal fight to hold the Sackler family accountable for the overdose crisis."
804,BARBARIAN,71%,"1,000+ Verified Ratings",92%,BARBARIAN,"Horror, Mystery & Thriller",English,Zach Cregger,"Arnon Milchan, Roy Lee, Raphael Margules, J.D. Lifshitz",Zach Cregger,"Sep 9, 2022  Wide","Oct 25, 2022",$40.8M,1h 42m,20th Century Studios,"Traveling to Detroit for a job interview, a young woman books a rental home. But when she arrives late at night, she discovers that the house is double booked and a strange man is already staying there. Against her better judgement, she decides to spend the evening, but soon discovers that there's a lot more to fear than just an unexpected house guest."
805,AMSTERDAM,62%,500+ Verified Ratings,33%,AMSTERDAM,"Comedy, Mystery & Thriller, Crime, Drama",English,David O. Russell,"Arnon Milchan, Matthew Budman, Anthony Katagas, David O. Russell, Christian Bale",David O. Russell,"Oct 7, 2022  Wide","Nov 11, 2022",$14.9M,2h 14m,20th Century Studios,In 1933 three close friends find themselves at the center of one of the most shocking secret plots in American history.
806,FIRE OF LOVE,87%,100+ Ratings,99%,FIRE OF LOVE,"Documentary, Biography",French (Canada),Sara Dosa,"Shane Boris, Ina Fichman, Sara Dosa",,"Jul 6, 2022  Limited","Nov 11, 2022",$1.1M,1h 33m,NEON,"Fire of Love tells the story of two French lovers, Katia and Maurice Krafft, who died in a volcanic explosion doing the very thing that brought them together: unraveling the mysteries of our planet, while simultaneously capturing the most explosive volcano imagery ever recorded. Along the way, they changed our understanding of the natural world, and saved tens of thousands of lives. Previously unseen hours of pristine 16-millimeter film and thousands of photographs reveal the birth of modern volcanology through an unlikely lens -- the love of its two pioneers."
807,DC LEAGUE OF SUPER-PETS,88%,"2,500+ Verified Ratings",73%,DC LEAGUE OF SUPER-PETS,"Kids & Family, Comedy, Adventure, Animation",English,Jared Stern,"Patricia Hicks, Dwayne Johnson, Dany Garcia, Hiram Garcia, Jared Stern","Jared Stern, John Whittington","Jul 29, 2022  Wide","Aug 23, 2022",$93.7M,1h 46m,Warner Bros. Pictures,"In ""DC League of Super-Pets,"" Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime in Metropolis side by side. When Superman and the rest of the Justice League are kidnapped, Krypto must convince a rag-tag shelter pack--Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel--to master their own newfound powers and help him rescue the superheroes."
808,EO,93%,Fewer than 50 Ratings,97%,EO,Drama,Polish,Jerzy Skolimowski,"Ewa Piaskowska, Jerzy Skolimowski, Eileen Tasca","Ewa Piaskowska, Jerzy Skolimowski","Nov 18, 2022  Limited",,$49.4K,1h 28m,Janus Films,"The world is a mysterious place when seen through the eyes of an animal. EO, a grey donkey with melancholic eyes, meets good and bad people on his life's path, experiences joy and pain, endures the wheel of fortune randomly turn his luck into disaster and his despair into unexpected bliss. But not even for a moment does he lose his innocence."
809,SALVATORE: SHOEMAKER OF DREAMS,--,Fewer than 50 Ratings,73%,SALVATORE: SHOEMAKER OF DREAMS,"Documentary, Biography",Italian,Luca Guadagnino,"Francesco Melzi d'Eril, Gabriele Moratti","Dana Thomas, Dana Thomas","Nov 4, 2022  Limited",,$30.0K,2h 0m,Sony Pictures Classics,"The life of Italian shoemaker Salvatore Ferragamo, who created shoes for Hollywood stars during the silent film era and for iconic films of the period."
810,THE GOOD HOUSE,76%,100+ Verified Ratings,72%,THE GOOD HOUSE,"Romance, Comedy, Drama",English,"Maya Forbes, Wallace Wolodarsky","Jane Rosenthal, Berry Welsh, Aaron Ryder","Maya Forbes, Wallace Wolodarsky, Thomas Bezucha","Sep 30, 2022  Limited",,$2.2M,1h 43m,Lionsgate / Roadside Attractions,"The Good House follows Hildy Good (Sigourney Weaver), a wry New England realtor and descendant of the Salem witches, who loves her wine and her secrets. Her compartmentalized life begins to unravel as she rekindles a romance with her old high-school flame, Frank Getchell (Kevin Kline), and becomes dangerously entwined in one person's reckless behavior. Igniting long-buried emotions and family secrets, Hildy is propelled toward a reckoning with the one person she's been avoiding for decades: herself."
811,LEONOR WILL NEVER DIE,100%,Fewer than 50 Ratings,93%,LEONOR WILL NEVER DIE,Drama,Filipino,Martika Ramirez Escobar,"Monster Jimenez, Mario Cornejo","Martika Ramirez Escobar, Martika Ramirez Escobar","Nov 25, 2022  Limited",,$3.2K,1h 39m,Music Box Films,"Leonor Reyes was once a major player in the Filipino film industry after creating a string of successful action films, but now her household struggles to pay the bills. When she reads an advertisement looking for screenplays, Leonor begins tinkering with an unfinished script about the quest of young, noble Ronwaldo, forced to avenge his brother's murder at the hand of thugs. While her imagination provides some escape from reality, she goes all-in after an accident involving a television knocks her out, sends her into a coma, and transports her inside the incomplete movie. Now Leonor can play out her wildest dreams firsthand and discover the perfect ending to her story."
812,BAD AXE,100%,Fewer than 50 Ratings,95%,BAD AXE,Documentary,English,David Siev,"Jude Hope Harris, Diane Moy Quon, David Siev, Katarina Vasquez",,"Nov 18, 2022  Limited","Nov 18, 2022",$16.7K,1h 42m,IFC Films,"A real-time portrait of 2020 unfolds as an Asian-American family in Trump's rural America fights to keep their restaurant and American dream alive in the face of a pandemic, Neo-Nazis, and generational scars from the Cambodian Killing Fields."
813,DON'T WORRY DARLING,74%,"1,000+ Verified Ratings",38%,DON'T WORRY DARLING,Mystery & Thriller,English,Olivia Wilde,"Olivia Wilde, Katie Silberman, Miri Yoon, Roy Lee",Katie Silberman,"Sep 23, 2022  Wide","Oct 25, 2022",$45.3M,2h 3m,Warner Bros. Pictures,"Alice and Jack are lucky to be living in the idealized community of Victory, the experimental company town housing the men who work for the top-secret Victory Project and their families. The 1950's societal optimism espoused by their CEO, Frank--equal parts corporate visionary and motivational life coach--anchors every aspect of daily life in the tight-knit desert utopia. While the husbands spend every day inside the Victory Project Headquarters, working on the ""development of progressive materials,"" their wives--including Frank's elegant partner, Shelley--get to spend their time enjoying the beauty, luxury and debauchery of their community. Life is perfect, with every resident's needs met by the company. All they ask in return is discretion and unquestioning commitment to the Victory cause. But when cracks in her idyllic life begin to appear, exposing flashes of something much more sinister lurking beneath the attractive façade, Alice can't help questioning exactly what they're doing in Victory, and why. Just how much is Alice willing to lose to expose what's really going on in this paradise?"
814,THERE THERE,--,Fewer than 50 Ratings,45%,THERE THERE,"Drama, Comedy, Romance",English,Andrew Bujalski,"Houston King, Dia Sokol Savage, Sam Bisbee",Andrew Bujalski,"Nov 18, 2022  Limited","Nov 18, 2022",$7.1K,1h 34m,Magnolia Pictures,"Acclaimed filmmaker Andrew Bujalski (Support the Girls, Computer Chess) explores the precarious nature of human connection in There There, a round robin of emotional two-character vignettes in which seven people reach out and bond momentarily, setting the scene for the next encounter. A pair of new lovers, a woman and her AA sponsor, a teacher and a parent, a lawyer and his client, and more, move from scene to scene, changing partners and beginning a new dance of discovery as they do. Via a groundbreaking shooting process, Bujalski plays with the ideas of isolation and perception by filming each actor individually in separate locations without ever seeing their partner's performance. An extraordinary cast including Jason Schwartzman, Lili Taylor, Lennie James and Molly Gordon sensitively captures the humor and heartbreaking fragility of life and love in the 2020s."
815,CAT DADDIES,92%,Fewer than 50 Ratings,82%,CAT DADDIES,Documentary,English,Mye Hoang,"Mye Hoang, Dave Boyle",Mye Hoang,"Oct 14, 2022  Limited",,$48.6K,1h 29m,,"Man has found a new best friend: Tora, Pickles, Lucky, Zulu, Toodles, Flame and GoalKitty. These are just some of the lovable feline stars of director Mye Hoang’s debut documentary film CAT DADDIES. A heartwarming and tender portrait of a diverse group of men whose lives have been forever changed by their love of cats, CAT DADDIES takes us on an inspiring journey all across the United States during the challenging early days of the COVID-19 pandemic when people desperately needed hope and companionship. These nine “cat dads” come from all walks of life – a firefighter, a truck driver, a Hollywood stuntman, an ad executive turned cat rescuer, a police officer, a software engineer, an actor/Instagram influencer, a school teacher and an undocumented and disabled immigrant living on the streets of New York City. They couldn’t be any more different, but each of them has a compelling story to tell and share an unconditional love for their beloved cats. A refreshing and timely exploration of modern masculinity, CAT DADDIES shows us how being a “cat person” has no gender, and that the unlikely bond between man and cat is here to stay."
816,CALL JANE,86%,Fewer than 50 Verified Ratings,82%,CALL JANE,Drama,English,Phyllis Nagy,"Claude Amadeo, Robbie Brenner, Lee Broda, Michael D'Alto, Kevin McKeon, David M. Wulf","Hayley Schore, Roshan Sethi","Oct 28, 2022  Wide",,$512.8K,2h 2m,Roadside Attractions,"Chicago, 1968. As the city and the nation are poised on the brink of political upheaval, suburban housewife Joy (Elizabeth Banks) leads an ordinary life with her husband and daughter. When Joy's pregnancy leads to a life-threatening heart condition, she must navigate an all-male medical establishment unwilling to terminate her pregnancy in order to save her life. Her journey for a solution leads her to Virginia (Sigourney Weaver), an independent visionary fiercely committed to women's health, and Gwen (Wunmi Mosaku), an activist who dreams of a day when all women will have access to abortion, regardless of their ability to pay. Joy is so inspired by their work, she decides to join forces with them, putting every aspect of her life on the line."
817,RUNNING THE BASES,97%,100+ Verified Ratings,--,RUNNING THE BASES,"Kids & Family, Drama",English,"Marty Roberts, Jimmy Womble",Robert C. Bigelow,"Marty Roberts, Jimmy Womble","Sep 16, 2022  Wide",,$1.5M,2h 7m,UP2U Films,"When a small-town baseball coach gets the offer of a lifetime from a larger 6A High School, he uproots his family and leaves the only home he's ever known. But as a man of faith, he soon faces extreme opposition to his coaching methods from the school superintendent."
818,MURINA,61%,Fewer than 50 Ratings,91%,MURINA,Drama,Croatian,Antoneta Alamat Kusijanovic,"Zdenka Gold, Danijel Pek, Martin Scorsese, Rodrigo Teixeira","Antoneta Alamat Kusijanovic, Frank Graziano","Jul 8, 2022  Limited","Sep 13, 2022",$55.8K,1h 34m,Kino Lorber,"Tensions rise between restless teenager Julija and her oppressive father Ante when an old family friend arrives at their Croatian island home. As Ante attempts to broker a life-changing deal, their tranquil yet isolated existence leaves Julija wanting more from this influential visitor, who provides a taste of liberation over a weekend laid bare to desire and violence."
819,NEPTUNE FROST,71%,Fewer than 50 Ratings,96%,NEPTUNE FROST,"Musical, Sci-Fi",Swahili,"Saul Williams, Anisia Uzeyman","Maria Judice, Ezra Miller, Anisia Uzeyman, Saul Williams",Saul Williams,"Jun 3, 2022  Limited","Jul 5, 2022",$193.9K,1h 45m,Kino Lorber,"In an otherworldly e-waste camp made of recycled computer parts, a subversive hacking collective attempts a takeover of the authoritarian regime exploiting the region's natural resources--and its people. When an intersex runaway (Neptune, played by both Elvis Ngabo and Cheryl Isheja) and an escaped coltan miner (Matalusa, played by Kaya Free) find each other through cosmic forces, their connection sparks glitches within the greater divine circuitry. With hypnotic visuals and original songs composed by musician and co-director Saul Williams, this celestial cyber-musical offers a radically bold vision of power, exploitation, and love."
820,ONLY IN THEATERS,100%,Fewer than 50 Ratings,100%,ONLY IN THEATERS,"Documentary, Biography, History",English,Raphael Sbarge,"Thomas Cassetta, Matt Kubas, Freida Orange, Rick Pratt",,"Nov 18, 2022  Limited",,$10.0K,1h 34m,The Film Collaborative,"ONLY IN THEATERS, a film by actor/director Raphael Sbarge, is an intimate and moving journey taken with the Laemmle family, spanning nearly three years of challenges, losses, and personal triumphs."
821,UTAMA,83%,Fewer than 50 Ratings,95%,UTAMA,Drama,Spanish,Alejandro Loayza Grisi,"Santiago Loayza Grisi, Federico Moreira",Alejandro Loayza Grisi,"Nov 4, 2022  Limited","Jan 3, 2023",$38.9K,1h 27m,Kino Lorber,"In the arid Bolivian highlands, an elderly Quechua couple has been living a tranquil life for years. While he takes their small herd of llamas out to graze, she keeps house and walks for miles with the other local women to fetch precious water. When an uncommonly long drought threatens everything they know, Virginio and Sisa must decide whether to stay and maintain their traditional way of life or admit defeat and move in with family members in the city. Their dilemma is precipitated by the arrival of their grandson Clever, who comes to visit with news. The three of them must face, each in their own way, the effects of a changing environment, the importance of tradition, and the meaning of life itself. This visually jaw-dropping debut feature by photographer-turned-filmmaker Alejandro Loayza Grisi is lensed by award-winning cinematographer Barbara Alvarez (Lucrecia Martel’s The Headless Woman) and won the Grand Jury Prize (World Cinema Dramatic) at the Sundance Film Festival."
822,1982,83%,Fewer than 50 Ratings,95%,1982,"History, Drama",Arabic,Oualid Mouaness,"Oualid Mouaness, Alix Madigan, Georges Schoucair, Myriam Sassine, Christopher Tricarico",Oualid Mouaness,"Jun 10, 2022  Limited",,$43.8K,1h 40m,Tricycle Logic,"""1982"" is a life-affirming coming-of-age tale set at an idyllic school in Lebanon's mountains on the eve of a looming invasion. It unfolds over a single day and follows an 11-year-old boy's relentless quest to profess his love to a girl in his class. As the invasion encroaches on Beirut, it upends the day, threatening the entire country and its cohesion. Within the microcosm of the school, the film draws a harrowing portrait of a society torn between its desire for love and peace and the ideological schisms unraveling its seams. In his debut feature, director Oualid Mouaness delivers an ode to innocence in which he revisits one of the most cataclysmic moments in Lebanon's history through the lens of a child and his vibrant imagination. The film demonstrates the complexities of love and war, and the resilience of the human spirit. ""1982"" stars Mohamad Dalli (in his acting debut) and Lebanese superstar Nadine Labaki (Capernaum, Where Do We Go Now, Caramel) alongside an extraordinary ensemble cast of professional and non-professional actors. ""1982"" is the first film from Lebanon to address the polemic and politically sensitive 1982 Lebanon War."
823,PLEASE BABY PLEASE,60%,Fewer than 50 Ratings,71%,PLEASE BABY PLEASE,"Musical, Drama, Mystery & Thriller",English,Amanda Kramer,"Gül Karakiz, Rob Paris, Mike Witherill","Amanda Kramer, Noel David Taylor","Oct 28, 2022  Limited",,$22.3K,1h 35m,Music Box Films,"Big issues, packaged in flamboyantly witty dialogue, are addressed amidst hyper-stylized decors with a theatrical 1950s feel (think a rather dark, campy twist on West Side Story (1961) as directed by John Waters). How should one be a 'real' man or woman? And, what does the institution of marriage have to do with it? Suze and Arthur are the ideal Lower East Side bohemian couple. He earns a modest living as a clarinetist, she is a stylish housewife, dutifully doing the washing up. One evening, they witness a murder, committed by a rough gang of greasers in leather jackets, on the sidewalk in front of their house. This introduction to the intimidating Young Gents arouses previously unsuspected emotions and feelings of sexuality in both Arthur and Suze."
824,THE AUTOMAT,86%,Fewer than 50 Verified Ratings,98%,THE AUTOMAT,Documentary,English,Lisa Hurwitz,"Lisa Hurwitz, Alec Shuldiner, Russell Greene","Michael Levine, Michael Levine","Feb 18, 2022  Limited",,$257.4K,1h 59m,A Slice of Pie Productions,"Before fast food we had something better. Our grandparents told us stories of gathering around communal tables, sharing their lives, their struggles, and their dreams with strangers at The Automat. In the long awaited Horn & Hardart documentary relive the phenomena of America's original and most beloved restaurant chain. The one hundred year Automat saga serves up never before-seen archival footage and photographs and a cast including celebrity customers, company executives, historians, and members of the Horn & Hardart families."
825,BRAINWASHED: SEX-CAMERA-POWER,--,Fewer than 50 Ratings,74%,BRAINWASHED: SEX-CAMERA-POWER,Documentary,English,Nina Menkes,Nina Menkes,,"Oct 21, 2022  Limited","Dec 6, 2022",$23.0K,1h 47m,Kino Lorber,"Brainwashed is based on director Nina Menkes's cinematic presentation, Sex and Power, the Visual Language of Cinema, that uses film clips by A-list directors from 1896 to the present, to show how the visual grammar of cinema contributes to conditions that create discriminatory hiring practice, pay inequity and a pervasive environment of sexual harassment in the film industry and beyond."
826,GLASS ONION: A KNIVES OUT MYSTERY,93%,500+ Verified Ratings,93%,GLASS ONION: A KNIVES OUT MYSTERY,"Mystery & Thriller, Comedy, Drama",English,Rian Johnson,"Rian Johnson, Ram Bergman",Rian Johnson,"Nov 23, 2022  Wide","Dec 23, 2022",,2h 20m,Netflix,"Benoit Blanc returns to peel back the layers in a new Rian Johnson whodunit. This fresh adventure finds the intrepid detective at a lavish private estate on a Greek island, but how and why he comes to be there is only the first of many puzzles. Blanc soon meets a distinctly disparate group of friends gathering at the invitation of billionaire Miles Bron for their yearly reunion. Among those on the guest list are Miles' former business partner Andi Brand, current Connecticut governor Claire Debella, cutting-edge scientist Lionel Toussaint, fashion designer and former model Birdie Jay and her conscientious assistant Peg, and influencer Duke Cody and his sidekick girlfriend Whiskey. As in all the best murder mysteries, each character harbors their own secrets, lies and motivations. When someone turns up dead, everyone is a suspect."
